"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 12:37:15 GMT 2024","Thu Apr 18 12:37:20 GMT 2024","5590","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_104_UnReg | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
"passed","Thu Apr 18 12:41:12 GMT 2024","Thu Apr 18 12:41:25 GMT 2024","13392","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_103_Auth | Markets > Menu item [Shares] > Click button [Create account ] in the block ""Discover trading excellence with Capital.com""",""
"passed","Thu Apr 18 12:37:05 GMT 2024","Thu Apr 18 12:37:10 GMT 2024","4672","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02.00_102_UnReg | Markets > Menu item [Shares] > Click button [Try Demo]  in the block ""Shares trading""",""
"passed","Thu Apr 18 12:37:21 GMT 2024","Thu Apr 18 12:37:32 GMT 2024","11535","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Thu Apr 18 12:37:10 GMT 2024","Thu Apr 18 12:37:15 GMT 2024","4367","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_103_UnReg | Markets > Menu item [Shares] > Click button [Create account] in the block ""Discover trading excellence with Capital.com""",""
"passed","Thu Apr 18 12:36:57 GMT 2024","Thu Apr 18 12:37:04 GMT 2024","7168","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_101_UnReg | Markets > Menu item [Shares] > Click button [Sign up] in the block ""Shares trading""",""
"passed","Thu Apr 18 12:40:04 GMT 2024","Thu Apr 18 12:40:15 GMT 2024","11275","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_101_Auth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Thu Apr 18 12:38:56 GMT 2024","Thu Apr 18 12:39:09 GMT 2024","13563","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_103_UnAuth  | Markets > Menu item [Shares] > Click button [Create account ] in the block ""Discover trading excellence with Capital.com""",""
"failed","Thu Apr 18 12:38:00 GMT 2024","Thu Apr 18 12:38:27 GMT 2024","27269","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_102_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"failed","Thu Apr 18 12:41:55 GMT 2024","Thu Apr 18 12:42:26 GMT 2024","31181","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_104_Auth | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
"failed","Thu Apr 18 12:39:36 GMT 2024","Thu Apr 18 12:40:04 GMT 2024","27136","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_104_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo ] in the block ""Discover trading excellence with Capital.com""",""
"failed","Thu Apr 18 12:40:42 GMT 2024","Thu Apr 18 12:41:11 GMT 2024","29050","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_102_Auth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
