"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 12 13:26:16 GMT 2023","Wed Jul 12 13:27:02 GMT 2023","46122","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_02_UnAuth | Education > Menu Item [Position Trading] > Test button [Trade] in the header of English language",""
"failed","Wed Jul 12 13:25:12 GMT 2023","Wed Jul 12 13:25:57 GMT 2023","44705","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_Auth | Education > Menu Item [Position Trading] > Test button [Log in] in the header of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_08_Auth | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:51:31 GMT 2023","Wed Jul 12 13:52:18 GMT 2023","47047","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnReg | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:44:49 GMT 2023","Wed Jul 12 13:45:27 GMT 2023","38651","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_01_UnReg | Education > Menu Item [Position Trading] > Test button [Log in] in the header of العَرَبِيَّة language",""
"passed","Wed Jul 12 13:27:49 GMT 2023","Wed Jul 12 13:28:10 GMT 2023","21644","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_UnReg | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"failed","Wed Jul 12 13:28:58 GMT 2023","Wed Jul 12 13:29:47 GMT 2023","48674","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_03_Auth | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner of English language",""
"failed","Wed Jul 12 13:37:26 GMT 2023","Wed Jul 12 13:38:26 GMT 2023","60392","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_07_UnAuth | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of English language",""
"passed","Wed Jul 12 13:39:30 GMT 2023","Wed Jul 12 13:40:23 GMT 2023","52522","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_08_UnReg | Education > Menu Item [Position Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today"" of English language",""
"skipped","Wed Jul 12 13:56:44 GMT 2023","Wed Jul 12 13:56:44 GMT 2023","0","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_07_UnAuth | Education > Menu Item [Position Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today"" of العَرَبِيَّة language",""
"failed","Wed Jul 12 13:31:52 GMT 2023","Wed Jul 12 13:32:22 GMT 2023","29813","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_05_UnReg | Educations > Menu item [Position trading] > Test buttons [Trade] on Widget ""Most traded"" of English language",""
"failed","Wed Jul 12 13:35:45 GMT 2023","Wed Jul 12 13:36:43 GMT 2023","57723","","Education > Menu Item [Position Trading]in All Role","","","","TC_11.03.04_06_Auth | Education > Menu Item [Position Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""  of English language",""
