"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 17:19:40 GMT 2023","Wed Jun 14 17:19:49 GMT 2023","8742","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_09 | Education > Menu Item [Swing Trading] > Test button [Create & verify your account] in the block ""Still looking for a broker you can trust?""",""
"passed","Wed Jun 14 17:18:42 GMT 2023","Wed Jun 14 17:18:49 GMT 2023","6746","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_01 | Education > Menu Item [Swing Trading] > Test button [Log in] in the header",""
"passed","Wed Jun 14 17:19:08 GMT 2023","Wed Jun 14 17:19:14 GMT 2023","5927","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_05 | Educations > Menu item [Swing trading] > Test buttons [Trade] on Widget ""Most traded""",""
"passed","Wed Jun 14 17:19:01 GMT 2023","Wed Jun 14 17:19:08 GMT 2023","6631","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_04 | Education > Menu Item [Swing Trading] > Test button [Try Demo] in Main banner",""
"passed","Wed Jun 14 17:18:03 GMT 2023","Wed Jun 14 17:18:14 GMT 2023","11746","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_02 | Education > Menu Item [Position Trading] > Test button [Trade] in the header",""
"passed","Wed Jun 14 17:19:24 GMT 2023","Wed Jun 14 17:19:33 GMT 2023","9056","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_07 | Education > Menu Item [Swing Trading] > Test button [Get it on Google Play] in the block ""Sign up and trade smart today""",""
"passed","Wed Jun 14 17:19:33 GMT 2023","Wed Jun 14 17:19:40 GMT 2023","7238","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_08 | Education > Menu Item [Swing Trading] > Test button [Explore Web Platform] in the block ""Sign up and trade smart today""",""
"passed","Wed Jun 14 17:18:15 GMT 2023","Wed Jun 14 17:18:27 GMT 2023","12947","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_03 | Education > Menu Item [Position Trading] > Test button [Start Trading] in Main banner",""
"passed","Wed Jun 14 17:18:55 GMT 2023","Wed Jun 14 17:19:01 GMT 2023","5881","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_03 | Education > Menu Item [Swing Trading] > Test button [Start Trading] in Main banner",""
"passed","Wed Jun 14 17:18:27 GMT 2023","Wed Jun 14 17:18:39 GMT 2023","11759","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_04 | Education > Menu Item [Position Trading] > Test button [Try Demo] in Main banner",""
"passed","Wed Jun 14 17:18:49 GMT 2023","Wed Jun 14 17:18:55 GMT 2023","6242","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_02 | Education > Menu Item [Swing Trading] > Test button [Sign up] in the header",""
"passed","Wed Jun 14 17:17:46 GMT 2023","Wed Jun 14 17:18:03 GMT 2023","16178","","Education > Menu Item [Position Trading]","","","","TC_11.03.04_01 | Education > Menu Item [Position Trading] > Test button [Log in] in the header",""
"passed","Wed Jun 14 17:19:14 GMT 2023","Wed Jun 14 17:19:24 GMT 2023","9722","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","","TC_11.03.05_06 | Education > Menu Item [Swing Trading] > Test button [Download on the App Store] in the block ""Sign up and trade smart today""",""
